Model Configuration,Balancing,Split,Accuracy,Precision,Recall,F1,Macro_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MRR,MAP,NDCG
9. Gated BERT (No RST),RST-Neighborhood,validation,0.22270742358078602,0.1813953488372093,0.9512195121951219,0.3046875,0.25850630850630846,0.22163207163207163,0.9487179487179487,0.34518074518074526,0.5904151404151404,0.5867826617826618,0.6897760170927785
9. Gated BERT (No RST),DSNB,train,0.5475880052151239,0.20985221674876847,0.47123893805309736,0.2903885480572597,0.5288214796511257,0.21508112094395282,0.47123893805309736,0.2785082174462705,0.48929896308214893,0.48929896308214893,0.6137673455906031
9. Gated BERT (No RST),DSNB,validation,0.537117903930131,0.14285714285714285,0.3170731707317073,0.19696969696969696,0.5513329263329263,0.0811965811965812,0.2948717948717949,0.12393162393162392,0.4007733007733008,0.4004171754171754,0.545767602130224
11. Heuristic-Guided BERT (RST Prior),None,train,0.7670578009561061,0.4066666666666667,0.40486725663716816,0.4057649667405765,0.7303497203386585,0.2857669616519174,0.40486725663716816,0.32374631268436577,0.6354017418176711,0.6354017418176711,0.7260100495261168
11. Heuristic-Guided BERT (RST Prior),None,validation,0.7205240174672489,0.2653061224489796,0.3170731707317073,0.28888888888888886,0.6979955229955231,0.20769230769230773,0.3333333333333333,0.2393162393162393,0.5455433455433454,0.5405067155067155,0.6560365787936726
11. Heuristic-Guided BERT (RST Prior),Pairwise,train,0.6053889613211647,0.312807881773399,0.8429203539823009,0.4562874251497006,0.6089835619149778,0.34937315634218286,0.8429203539823009,0.46696165191740413,0.663311209439528,0.663311209439528,0.7479466445366219
11. Heuristic-Guided BERT (RST Prior),Pairwise,validation,0.45414847161572053,0.20833333333333334,0.7317073170731707,0.32432432432432434,0.4661375661375661,0.2311965811965812,0.7307692307692307,0.32594627594627595,0.5525641025641025,0.5557692307692306,0.6663441329582488
11. Heuristic-Guided BERT (RST Prior),Cluster,train,0.4528465884398088,0.2381570408825438,0.8119469026548672,0.36828901154039134,0.4931977007751344,0.3110988200589971,0.8119469026548672,0.42002116614948476,0.6005206138502599,0.6005206138502599,0.6994322319182598
11. Heuristic-Guided BERT (RST Prior),Cluster,validation,0.27510917030567683,0.1794871794871795,0.8536585365853658,0.2966101694915254,0.30905575905575905,0.2202889702889703,0.8717948717948718,0.336979686979687,0.5105006105006105,0.5073260073260073,0.6272579400284011
11. Heuristic-Guided BERT (RST Prior),RST-Neighborhood,train,0.33594089526292914,0.21773347324239245,0.918141592920354,0.3519932145886344,0.3884990071383877,0.2785995224048321,0.918141592920354,0.4044591838839626,0.6073131760078664,0.6073131760078664,0.7045356705980104
11. Heuristic-Guided BERT (RST Prior),RST-Neighborhood,validation,0.22707423580786026,0.18807339449541285,1.0,0.3166023166023166,0.26674806674806667,0.2325600325600326,1.0,0.3617253117253118,0.5545787545787545,0.5567155067155067,0.6646813314230641
11. Heuristic-Guided BERT (RST Prior),DSNB,train,0.3533246414602347,0.22446808510638297,0.9336283185840708,0.36192109777015435,0.39536619354097224,0.2820185898172624,0.9336283185840708,0.41148846237341813,0.6181503722432927,0.6181503722432927,0.7126314753372054
11. Heuristic-Guided BERT (RST Prior),DSNB,validation,0.2445414847161572,0.18867924528301888,0.975609756097561,0.31620553359683795,0.2848595848595848,0.23311965811965818,0.9743589743589743,0.3612128612128612,0.6164835164835164,0.6175824175824176,0.7110501393766739
12. LGSM,None,train,0.7596697088222512,0.38802660753880264,0.38716814159292035,0.3875968992248062,0.7213869095506263,0.2610619469026549,0.38716814159292035,0.3008849557522124,0.5785126869197666,0.5785126869197666,0.6817874862848647
12. LGSM,None,validation,0.7947598253275109,0.38461538461538464,0.24390243902439024,0.29850746268656714,0.7417989417989418,0.16666666666666666,0.2564102564102564,0.19658119658119658,0.5117826617826616,0.5117826617826616,0.6319674607958524
